id_cliente,tipo_cliente,nome_razao_social,cpf_cnpj,email,telefone,cidade,estado,cep,data_nascimento_fundacao,genero,profissao_segmento,renda_mensal_faturamento,data_cadastro
CLI0447,PF,,198.369.157-37,nao informado,(51)963655557,Recife,PE,16190-343,06/07/1978,M,,44349,07-13-2020
CLI0291,PF,Fernanda Martins,748.309.309-67,fernandamart43@gmail.com,11956028484,,CE,38061-137,1962-07-12,f,Arquiteto,9597,27.02.2022
CLI0483,PF,Eduardo Ferreira,96757451048,eduardoferre53@outlook.com,+55 62 98365-6931,Salvador,BA,70468-253,05-13-2002,f,Técnico,21588,2025-02-10
CLI0321,PJ,Sigma Construtora ME,32.472.505/8333-43,sigmaconstru379@outlook.com,+55 71 98430-7576,Campinas,MG.,93326-443,03/09/2016,,,3168924,2024-01-16
CLI0511,PF,Juliana Costa,  625.395.011-15  ,julianacosta483@gmail.com,+55 71 93917-4607,Porto Velho,RO,48668-776,,Masculino,Designer,36973,11/01/2022
CLI0430,PF,viviane hardt,77804579725,nao informado,,Campinas,SP,28129-912,1964-01-01,f,Arquiteto,,20/04/2020
CLI0051,PF,Débora Pacheco,494.937.597-38,deborapachec470@gmail.com,85920043577,Porto Velho,RO,44208-971,1955-05-17,m,Administrador,17169,05-28-2024
CLI0052,PF,Isabela Duarte,127.756.185-37,nao informado,(31) 94246-7563,Palmas,TO,35919-761,01-01-2030,Masculino,Vendedor,38052,11/06/2021
CLI0390,PF,Maria Oliveira,574.496.539-16,mariaoliveir757@gmail.com,(61) 99912-7542,Curitiba,PR,52165-261,12-24-1998,F,,15697,16/10/2023
CLI0147,PF,LIGIA BERNARDES,601.692.364-58,ligiabernard194@outlook.com,+55 71 99735-7271,Belo Horizonte,MG,,01.01.2030,F,Enfermeiro,27188,2023-11-11
CLI0305,PF,Mauricio Melo,801.963.045-30,mauriciomelo687@yahoo.com.br,(71)918852650,Porto Alegre,RS,38500-561,23/07/1985,F,Empresário,R$ 29851,14/03/2021
CLI0189,PF,  Marcelo Azevedo  ,88953690261,marceloazeve981@outlook.com,(61)970259467,Recife,PE,26420-650,28.06.1979,Masculino,Contador,R$ 22631,2024-07-27
CLI0331,PF,Cintia Nogueira,030.044.964-61,cintianoguei625@hotmail.com,(51)963223875,Belo Horizonte,MG,19499-328,31.03.2002,m,Vendedor,38397,28/02/2024
CLI0365,PJ,Mu Auto Peças ME,,,(21) 95028-6974,São Paulo,SP,49084-943,07.02.2019,,Agronegócio,3924306,24/10/2020
CLI0382,PF,  Leticia Xavier  ,739.928.919-82,leticiaxavie981@yahoo.com.br,(62) 91315-2850,Macapá,AP,88487-283,01-01-2030,m,Técnico,45572,24.10.2023
CLI0289,PF,Marcelo Azevedo,522.299.936-21,marceloazeve21@uol.com.br,51934220993,Belém,PA,67690-171,1960-12-16,Masculino,Arquiteto,34315,2023-09-18
CLI0115,PF,Vinicius Moreira,  167.567.700-28  ,viniciusmore132@yahoo.com.br,+55 62 92594-8014,Rio de Janeiro,S.P,17398-777,10.02.1985,M,Analista,R$ 25118,08-19-2022
CLI0101,PF,  Roberto Kramer  ,192.692.124-47,robertokrame453@yahoo.com.br,(21) 92153-5105,Cuiabá,MT,97111-499,01-02-1968,,Vendedor,R$ 37430,12.09.2023
CLI0424,PF,,98025308437,ligiabernard351@hotmail.com,+55 71 96538-6166,Salvador,BA,86671-129,08-15-1965,M,,R$ 7243,05.08.2025
CLI0435,PJ,  Rho Sistemas Ltda  ,65667640996833,rhosistemasl691@outlook.com,(61) 94215-8518,Belém,PA,,02-12-1995,,Construção Civil,3175645,24.02.2020
CLI0099,PF,Rafael Santos,  544.209.494-07  ,rafaelsantos718@hotmail.com,(85)976565050,Curitiba,PR,41188-776,04-11-1951,Masculino,Designer,11904,2021-11-16
CLI0039,PF,,556.093.204-89,otavioesteve968@gmail.com,(71)939356057,Teresina,,90980-753,06.08.1981,f,Vendedor,37529,02.06.2025
CLI0260,PJ,tau serviços sa,91.767.993/5937-44,sem email,+55 21 97828-1267,Recife,--,96941-152,13/12/1997,,Logística,,05-24-2022
CLI0112,PF,Juliana Costa,  711.207.545-27  ,julianacosta45@gmail.com,,Salvador,BA,29078-966,,,,R$ 45239,02-10-2023
CLI0353,PF,Otavio Esteves,309.091.538-60,otavioesteve579@hotmail.com,61917985583,Porto Velho,RO,46313-657,28/08/1950,f,,47229,25.04.2020
CLI0298,PF,Felipe Cardoso,96112879429,felipecardos708@uol.com.br,+55 61 98540-7523,Macapá,AP,,30/12/1987,F,Vendedor,44095,05.03.2023
CLI0466,PF,Ana Lima,218.527.341-14,analima311@yahoo.com.br,71950993688,Guarulhos,SP,22881-244,1989-07-24,,Engenheiro,42412,12-29-2022
CLI0055,PF,Roberto Kramer,644.220.969-02,robertokrame993@hotmail.com,81983286096,Maceió,AL,19661-918,17/10/1973,Feminino,Contador,R$ 9080,22/04/2023
CLI0222,PF,Marcelo Azevedo,77980660392,marceloazeve878@gmail.com,(62)922137642,Curitiba,PR,75168-754,29/05/1964,Masculino,Empresário,28300,2024-04-16
CLI0026,PJ,MU AUTO PEÇAS ME,15.305.152/2047-27,muautopecasm434@gmail.com,,,SC,75513-711,27.05.1998,,,1909043,2025-10-11
